Sexo,Coeficiente,Escola,Enem
M,0.2449,Pública,598.81
M,0.5206,Pública,599.13
M,0.4552,Pública,599.67
M,0.4205,Pública,599.8
M,0.6311,Particular,599.9
F,0,Pública,599.99
M,0.6575,Particular,600.5
M,0,Pública,601.16
M,0.5259,Particular,601.47
M,0.174,Particular,601.64
M,0.7428,Pública,601.7
M,0,Pública,602.3
M,0.7198,Pública,602.3
M,0,Pública,602.81
M,0,Pública,603.07
M,0,Pública,603.14
M,0,Pública,603.54
F,0.0268,Particular,603.61
M,0,Pública,603.72
M,0.0711,Pública,604.06
F,0.5744,Particular,604.32
F,0,Pública,605.1
M,0.1319,Pública,605.62
M,0.8734,Particular,605.62
M,0,Pública,605.64
F,0,Pública,605.87
M,0.1719,Pública,606.2
M,0.1527,Pública,606.2
M,0.3464,Pública,606.98
M,0.921,Particular,607.68
M,0.3577,Pública,607.9
M,0.177,Pública,608.6
M,0.2614,Pública,608.71
F,0.5895,Pública,609.06
M,0.3502,Pública,609.1
M,0.3351,Particular,609.3
M,0.2852,Particular,609.42
M,0.6111,Pública,610.16
M,0.0781,Particular,610.3
M,0.2681,Pública,611.7
M,0.7341,Pública,611.93
M,0.3086,Particular,612.5
M,0.3226,Pública,612.51
M,0,Particular,612.63
M,0,Pública,612.64
M,0.5875,Pública,612.8
M,0.7254,Pública,613
M,0.5551,Particular,613.24
M,0.6961,Pública,613.73
F,0.5466,Pública,614
M,0.2189,Particular,614.1
M,0.67,Particular,614.69
F,0,Pública,615.3
M,0,Particular,615.52
M,0,Pública,616.09
M,0.4019,Particular,616.5
M,0.0244,Particular,616.8
M,0.4474,Pública,617
M,0.7458,Pública,617.03
M,0.2849,Pública,617.1
M,0.7239,Particular,617.49
M,0.749,Pública,617.78
M,0.3833,Particular,618.48
M,0.863,Pública,618.7
M,0.7118,Particular,618.7
M,0.3063,Pública,619
M,0.1378,Particular,619
M,0.6741,Particular,619.29
M,0.5989,Pública,619.9
F,0.5785,Pública,620.61
M,0.4896,Pública,620.7
M,0.5784,Pública,620.73
M,0.8511,Pública,620.9
M,0.2683,Pública,621
M,0,Pública,621.14
M,0.6355,Pública,621.63
F,0.3041,Particular,621.63
M,0.5684,Pública,621.67
M,0,Particular,621.67
M,0.6513,Pública,621.67
M,0,Particular,621.9
F,0.4095,Pública,622
M,0,Particular,622
M,0,Pública,623.29
M,0,Particular,623.88
M,0.8121,Pública,624.03
M,0.4854,Pública,624.32
M,0.7141,Particular,624.34
M,0,Pública,624.39
M,0.6013,Particular,624.54
M,0.3316,Particular,624.86
M,0,Pública,625.71
M,0.2726,Particular,625.82
M,0.5151,Pública,626
M,0.5591,Particular,626.19
M,0,Particular,626.62
M,0.3331,Pública,626.7
M,0.6113,Pública,627.08
M,0.5639,Pública,627.3
M,0.761,Pública,627.4
M,0.4381,Particular,627.4
M,0,Particular,627.43
F,0.6594,Pública,628.31
M,0.3323,Particular,628.9
M,0.2468,Pública,629.23
M,0,Pública,629.33
M,0.6386,Particular,629.49
M,0.5265,Pública,629.8
M,0.5483,Particular,631.03
M,0.518,Pública,631.29
M,0.85,Particular,631.32
M,0.4061,Pública,631.4
M,0.7499,Particular,633.2
M,0.633,Pública,633.4
M,0.3333,Pública,633.7
F,0.4726,Pública,634.37
M,0,Pública,634.5
M,0,Pública,634.5
M,0.2911,Particular,634.6
M,0,Pública,635
M,0.4867,Pública,635
M,0.4987,Pública,635
M,0,Pública,635.23
M,0.4978,Pública,635.3
M,0.7449,Particular,635.7
M,0.5053,Pública,635.89
M,0.5758,Pública,635.98
M,0.2273,Particular,636.16
M,0.3281,Particular,636.37
M,0.6453,Pública,636.39
M,0.4367,Pública,636.62
F,0.7953,Pública,636.76
M,0.4855,Particular,637.19
M,0,Pública,637.21
M,0.9139,Pública,637.42
F,0,Pública,638.3
M,0.238,Pública,638.4
M,0.608,Particular,639
M,0.5168,Pública,639.49
M,0.1215,Pública,639.51
M,0.7228,Particular,639.64
M,0.6859,Particular,640.1
M,0.1411,Pública,640.19
M,0.3038,Particular,640.38
M,0.4472,Pública,641
M,0.7292,Pública,641.27
M,0.4436,Particular,641.31
M,0.3976,Particular,641.5
M,0.6309,Pública,641.62
F,0.5816,Particular,642.1
M,0.5237,Pública,642.1
M,0.7781,Particular,642.18
F,0.6663,Pública,642.2
M,0.5585,Pública,642.4
M,0,Particular,642.56
M,0.9026,Pública,643.2
M,0,Pública,643.32
M,0.6731,Particular,643.44
M,0,Pública,643.62
M,0.4991,Particular,644.5
M,0,Pública,644.72
M,0.5843,Particular,644.77
M,0.5507,Pública,644.99
M,0.7117,Particular,645.11
M,0.7467,Pública,645.76
M,0.4354,Pública,645.8
M,0,Pública,646
M,0.5775,Particular,646.18
M,0.6318,Pública,646.3
M,0.8528,Pública,646.5
M,0,Particular,646.52
M,0.2163,Particular,646.6
M,0.3213,Pública,646.93
M,0.3073,Pública,647.12
M,0.6812,Pública,647.4
M,0.8283,Pública,647.62
M,0,Particular,648.11
M,0.373,Pública,648.2
M,0.9416,Pública,648.81
M,0.3359,Particular,649
M,0,Pública,649
M,0.7343,Particular,649.31
M,0.4506,Pública,649.51
M,0.5887,Pública,649.61
M,0.6276,Particular,649.83
M,0.4644,Particular,649.9
M,0,Particular,650.36
M,0.548,Particular,650.36
M,0,Pública,650.51
M,0.1322,Particular,651.17
M,0.5939,Pública,651.6
M,0.2644,Particular,652.1
M,0.5152,Particular,652.22
M,0.344,Particular,652.41
F,0.6626,Particular,653.5
M,0.536,Particular,653.74
F,0.7856,Particular,654.22
M,0.6148,Particular,654.28
M,0.5813,Particular,654.87
M,0.6429,Pública,654.93
M,0.0193,Particular,655.19
M,0.6979,Pública,655.69
M,0,Particular,655.98
M,0.3876,Pública,656.3
M,0.3789,Pública,657
M,0.7104,Particular,657.2
M,0.8089,Particular,657.8
M,0.1184,Pública,658
M,0.3711,Particular,658.31
M,0.3612,Pública,658.44
M,0.0329,Pública,658.49
M,0.4866,Particular,658.5
M,0.6832,Particular,658.78
M,0.4661,Particular,658.8
M,0,Pública,659.13
M,0.3045,Particular,659.4
M,0.4426,Particular,659.4
M,0.5488,Particular,659.73
M,0,Pública,659.83
M,0.3756,Pública,659.98
M,0,Particular,660.23
M,0.6214,Pública,660.62
M,0.5563,Particular,660.64
M,0.616,Particular,661.12
M,0.831,Pública,661.2
M,0.646,Particular,661.23
M,0.5554,Particular,661.73
M,0.4809,Particular,661.81
M,0.3877,Particular,662.39
M,0.798,Particular,662.89
F,0,Pública,663.76
M,0.4685,Particular,664.59
M,0.8127,Pública,665.3
M,0.4185,Particular,665.38
M,0.7354,Pública,665.4
M,0,Particular,665.57
M,0.7104,Pública,665.63
M,0.8487,Particular,665.8
M,0.5973,Pública,666.03
M,0.7458,Pública,666.4
M,0,Pública,666.5
M,0,Particular,667
M,0.4902,Pública,667.1
M,0.7576,Pública,667.11
M,0.7843,Pública,667.52
M,0.7073,Particular,668.61
M,0.5519,Particular,669.1
M,0.571,Particular,669.4
F,0.6244,Particular,670.42
M,0.4801,Pública,671.31
M,0,Particular,671.31
M,0,Particular,671.83
M,0.7043,Pública,671.87
M,0,Particular,671.88
M,0.2663,Particular,671.9
M,0.3615,Particular,671.92
M,0.7752,Pública,672.48
M,0.222,Particular,672.61
M,0.746,Particular,672.98
M,0.6957,Pública,673
M,0.7129,Pública,673
M,0.7971,Pública,673.02
M,0,Particular,673.07
M,0.5753,Particular,673.2
M,0.3239,Particular,673.2
